variant,weight_lr,best_test_error_mean,best_test_error_std,final_test_error_mean,final_train_error_mean,state_delta_mean,saturation_mean,weight_abs_mean,duration_sec_mean
ep_gradual_100_0p01_plus,0.001,0.12900641025641027,0.008442030250683298,0.3741987179487179,0.26625000000000004,0.08741375437523756,0.0027942439862542953,0.6505324843070572,484.88568490681547
bp_tanh,0.001,0.1362179487179487,0.019280784319737128,0.15224358974358976,0.13729166666666667,,,,13.689092546856651
ep_nudge_0p01_plus,0.001,0.1362179487179487,0.019280784319737128,0.1594551282051282,0.14833333333333334,0.02165273308340046,0.0,0.3975400792352028,307.2858070603882
ep_gradual_100_0p01_plus,0.0001,0.14262820512820512,0.020444472471431212,0.15865384615384615,0.14541666666666667,0.09424339356935686,0.0,0.295333799181713,522.4174174157282
ep_gradual_100_0p01_plus,5e-05,0.1450320512820513,0.03316378539515203,0.15705128205128205,0.14291666666666666,0.0941486159298155,0.0,0.20929188536893986,521.4638037440988
ep_nudge_0p01_plus,0.0001,0.15384615384615385,0.04107694108325735,0.15625,0.149375,0.0231844125651858,0.0,0.14424770528761047,266.5783637537
ep_nudge_0p01_plus,5e-05,0.17548076923076925,0.05369785553771317,0.18349358974358976,0.15937500000000002,0.023850137881106803,0.0,0.10946330186548747,252.263261895782
ep_gradual_100_0p01_plus,1e-05,0.2091346153846154,0.08596901318388299,0.21554487179487178,0.20458333333333334,0.09733923146708146,0.0,0.10197113727995503,460.73247128073126
bp_tanh,0.0001,0.21794871794871795,0.08244643306085227,0.21875,0.21395833333333333,,,,15.367767394520342
ep_nudge_0p01_plus,1e-05,0.3068910256410256,0.1730490985468851,0.3100961538461539,0.30020833333333335,0.024635578880293506,0.0,0.07193078076583333,191.5244855003742
dplus_direct,0.001,0.327724358974359,0.15131506661145544,0.327724358974359,0.320625,0.16620745375752452,0.0,0.06357271960834951,235.82144395293048
dplus_nudge_0p1_plus,0.001,0.328525641025641,0.15043416989629246,0.328525641025641,0.32645833333333335,0.1352337363595143,0.0,0.06274681551450031,237.01990881267315
dplus_gradual_100_0p01_plus,0.001,0.3453525641025641,0.13675187591788693,0.3453525641025641,0.3402083333333334,0.10756435402772495,0.0,0.062038235841207795,523.348845664567
dplus_nudge_0p01_plus,0.001,0.3541666666666667,0.12903378034231194,0.3541666666666667,0.3454166666666667,0.027994181533964962,0.0,0.059528885676882935,229.4868969141195
dplus_direct,0.0001,0.3557692307692308,0.12719958226272068,0.3557692307692308,0.3458333333333334,0.18071945374676335,0.0,0.059096953053671936,313.31906477672356
dplus_nudge_0p1_plus,0.0001,0.35657051282051283,0.12675208227070886,0.35657051282051283,0.3464583333333333,0.1454491290031001,0.0,0.059002270557155796,237.60570317786187
dplus_nudge_0p1_plus,5e-05,0.3581730769230769,0.12493063904025273,0.3581730769230769,0.3472916666666667,0.14621302321087568,0.0,0.05878213198500351,238.9216742242376
dplus_direct,5e-05,0.3581730769230769,0.12493063904025271,0.3581730769230769,0.3466666666666667,0.1818617252343231,0.0,0.058829790599667475,248.89138720417395
dplus_gradual_100_0p01_plus,0.0001,0.3581730769230769,0.12493063904025271,0.3581730769230769,0.3472916666666667,0.11268185863064395,0.0,0.05891562991301801,495.0259102759883
dplus_nudge_0p001_plus,0.0001,0.358974358974359,0.12403318166063451,0.358974358974359,0.3489583333333333,0.005441301209438178,0.0,0.058588937866442155,263.6554326309512
dplus_nudge_0p01_plusminus,0.001,0.358974358974359,0.12403318166063451,0.358974358974359,0.34979166666666667,0.030166052904290457,0.0,0.05878879814745119,321.2988138690901
dplus_nudge_0p01_plusminus,0.0001,0.358974358974359,0.12403318166063451,0.358974358974359,0.3489583333333333,0.030135904764239163,0.0,0.05858249171750771,334.56803174472105
dplus_nudge_0p01_plusminus,5e-05,0.358974358974359,0.12403318166063453,0.358974358974359,0.3489583333333333,0.03013428458607652,0.0,0.058571083129149,312.58553810277954
dplus_nudge_0p001_plus,1e-05,0.358974358974359,0.1240331816606345,0.358974358974359,0.3489583333333333,0.005442753337427146,0.0,0.05856259339559239,203.25466091294462
dplus_nudge_0p01_plus,0.0001,0.358974358974359,0.1240331816606345,0.358974358974359,0.348125,0.028489512499525315,0.0,0.05865745124874802,238.79514834765965
dplus_nudge_0p01_plus,5e-05,0.358974358974359,0.1240331816606345,0.358974358974359,0.34875000000000006,0.02851955522006999,0.0,0.05860859138578673,261.29981869257364
dplus_nudge_0p01_plus,1e-05,0.358974358974359,0.1240331816606345,0.358974358974359,0.3489583333333333,0.028544251253931886,0.0,0.058569482820173824,191.39453993877396
dplus_nudge_0p01_plusminus,1e-05,0.358974358974359,0.1240331816606345,0.358974358974359,0.3489583333333333,0.030133162289599166,0.0,0.05856195192840758,256.3285081596114
dplus_gradual_100_0p01_plus,1e-05,0.358974358974359,0.12403318166063453,0.358974358974359,0.34875000000000006,0.11331053977004357,0.0,0.0585953609493361,479.34926357197884
dplus_gradual_100_0p01_plus,5e-05,0.358974358974359,0.1240331816606345,0.358974358974359,0.348125,0.11302653106343413,0.0,0.058737969705874915,480.04088393660885
dplus_nudge_0p001_plus,5e-05,0.358974358974359,0.1240331816606345,0.358974358974359,0.3489583333333333,0.005442186208545333,0.0,0.05857431413143347,232.94749527890235
dplus_direct,1e-05,0.358974358974359,0.1240331816606345,0.358974358974359,0.3485416666666667,0.18280992723432266,0.0,0.0586139363445825,232.91678874675804
dplus_nudge_0p1_plus,1e-05,0.358974358974359,0.1240331816606345,0.358974358974359,0.34875000000000006,0.14684626810511367,0.0,0.0586042926344626,249.9780151026013
dplus_nudge_0p001_plus,0.001,0.35897435897435903,0.1240331816606345,0.35897435897435903,0.34875000000000006,0.005426152397154106,0.0,0.05885272121114351,227.41978245818368
bp_tanh,5e-05,0.3966346153846154,0.2008182917877952,0.3966346153846154,0.38395833333333335,,,,13.125874350468317
bp_tanh,1e-05,0.5953525641025641,0.16106367191349016,0.5953525641025641,0.581875,,,,11.849372540600598
