target_name,method,free_mse_decrease_raw,free_mse_decrease_bp_normed,free_mse_decrease_raw_positive_rate,feedforward_ce_decrease_raw
direct_plus,bp,0.0001342106196615197,0.0001342106196615197,1.0,0.0001348074939515595
direct_plus,dplus,3.573132885826959e-05,0.000234344767199601,1.0,1.5530321333143447e-06
direct_plus,ep,0.0004658210608694058,0.00016471164094074398,1.0,2.004702885945638e-05
gradual_100_0p01_plus,bp,0.00013421061966151972,0.00013421061966151972,1.0,0.0001348074939515595
gradual_100_0p01_plus,dplus,1.6663637426164413e-05,0.00021294421619836332,1.0,6.010135014851888e-07
gradual_100_0p01_plus,ep,0.024313030971421085,0.00012444704771040122,1.0,0.0009814666377173083
nudge_0p001_plus,bp,0.00013421061966151972,0.00013421061966151972,1.0,0.0001348074939515595
nudge_0p001_plus,dplus,6.730357805887858e-07,9.540882375503079e-05,0.9722222222222223,6.6227383083767366e-09
nudge_0p001_plus,ep,0.008209135797288616,3.013014793395996e-05,1.0,0.0003575219048393894
nudge_0p01_plus,bp,0.00013421061966151972,0.00013421061966151972,1.0,0.00013480749395155953
nudge_0p01_plus,dplus,5.366901556650798e-06,0.00022556136051810839,1.0,2.102719412909614e-07
nudge_0p01_plus,ep,0.006786988841162734,0.00012997620635559206,1.0,0.00028730101055566567
nudge_0p01_plusminus,bp,0.00013421061966151972,0.00013421061966151972,1.0,0.0001348074939515595
nudge_0p01_plusminus,dplus,-2.9636753929985895e-07,-4.707690742279173e-05,0.0,-3.311369154188368e-08
nudge_0p01_plusminus,ep,0.0071991657217343,0.0001548586620224703,1.0,0.0003031541903813499
nudge_0p1_plus,bp,0.00013421061966151972,0.00013421061966151972,1.0,0.00013480749395155953
nudge_0p1_plus,dplus,2.9154949718051488e-05,0.00023419409990309994,1.0,1.2434191173977322e-06
nudge_0p1_plus,ep,0.003719400200578834,0.00015766670306520958,1.0,0.00015837947527565908
