variant,family,best_test_error_mean,best_test_error_std,best_test_error_min,best_test_error_max,final_test_error_mean,final_test_error_std,final_test_error_min,final_test_error_max,final_test_cost_mean,final_test_cost_std,final_test_cost_min,final_test_cost_max,final_train_error_mean,final_train_error_std,final_train_error_min,final_train_error_max,final_train_cost_mean,final_train_cost_std,final_train_cost_min,final_train_cost_max,final_train_energy_mean,final_train_energy_std,final_train_energy_min,final_train_energy_max,state_delta_mean,state_delta_std,state_delta_min,state_delta_max,saturation_mean,saturation_std,saturation_min,saturation_max,weight_abs_mean_mean,weight_abs_mean_std,weight_abs_mean_min,weight_abs_mean_max,weight_update_rel_mean_mean,weight_update_rel_mean_std,weight_update_rel_mean_min,weight_update_rel_mean_max,duration_sec_mean,duration_sec_std,duration_sec_min,duration_sec_max
bp_mlp_tanh,bp_mlp,0.11142578127328306,0.016434708357931985,0.09980468754656613,0.123046875,0.11142578127328306,0.016434708357931985,0.09980468754656613,0.123046875,0.38628778932616115,0.06097091060783832,0.34317484498023987,0.4294007336720824,0.10101633756718736,0.004231357068270563,0.09802431629059162,0.10400835884378311,0.3853617879621526,0.004881509197136239,0.38191003970643306,0.3888135362178721,,,,,,,,,,,,,,,,,,,,,33.681116606108844,0.16018202236181273,33.56785081187263,33.79438240034506
bp_cnn,bp_cnn,0.11884765629656613,0.01698713549780675,0.10683593759313226,0.130859375,0.11884765629656613,0.01698713549780675,0.10683593759313226,0.130859375,0.4129120232537389,0.07256160412279744,0.36160322092473507,0.4642208255827427,0.13257503802789017,0.006682857543911409,0.12784954414088676,0.1373005319148936,0.439751480488067,0.012712671416126822,0.4307622643227273,0.44874069665340666,,,,,,,,,,,,,,,,,,,,,33.44285713485442,0.26167604483643225,33.257824229076505,33.62789004063234
dthreeq_ep_nudge_0p01,dthreeq,0.866796875372529,0.006629127654130702,0.8621093742549419,0.8714843764901161,0.866796875372529,0.006629127654130702,0.8621093742549419,0.8714843764901161,0.2098795617930591,0.00480151847196436,0.20648437552154064,0.21327474806457758,0.862390768654803,0.00043656871451481355,0.8620820679563157,0.8626994693532903,0.21721056024444862,0.006622279856128183,0.21252790125126533,0.22189321923763194,63.70950613630579,1.3362244886697352,62.764652739179894,64.65435953343169,0.01628046069981147,0.0006498702811573135,0.015820933017113525,0.016739988382509414,0.002594448749586205,0.0008455399202115392,0.0019965617382406934,0.0031923357609317166,0.049081252343644695,0.000671825891898361,0.04860619969970666,0.049556304987582726,0.004304729923655677,6.052050480298607e-05,0.004261935464308653,0.004347524383002702,42.821438043611124,1.6374900712196847,41.66355771012604,43.979318377096206
epcnnthreeq_ep,legacy_conv,0.871679687872529,0.07015825252635959,0.8220703117549419,0.9212890639901161,0.871679687872529,0.07015825252635959,0.8220703117549419,0.9212890639901161,0.9806444216519594,0.006422529071086363,0.9761030077934265,0.9851858355104923,0.8773983672578284,0.07646666765999051,0.823328268020711,0.9314684664949457,0.980775515449808,0.006473407098846263,0.9761981253928327,0.9853529055067833,26.455103387223915,1.0631218920815777,25.703362688105155,27.20684408634267,,,,,,,,,,,,,0.0013061963745051104,7.248914433433019e-05,0.001254938808983895,0.0013574539400263257,38.559868840966374,1.7350491677698292,37.33300380874425,39.786733873188496
cnnthreeq_direct,legacy_conv,0.8758789077401161,0.0738871343622662,0.8236328139901161,0.9281250014901161,0.880468750372529,0.08037815206218277,0.8236328139901161,0.9373046867549419,0.9867735970765352,0.004862289617705513,0.9833354391157627,0.9902117550373077,0.8732427815173535,0.08039578429714067,0.8163943772620343,0.9300911857726726,0.9860346374359537,0.005121468916352555,0.9824132120355646,0.9896560628363427,23.730627912156123,0.031593478513850096,23.70828794925771,23.75296787505454,,,,,,,,,,,,,0.0012377534207768323,6.098613113586205e-06,0.0012334410500883823,0.0012420657914652823,38.3474242517259,1.9118498245376612,36.995542276185006,39.69930622726679
dthreeq_dplus_direct,dthreeq,0.8806640636175871,0.009115048878068445,0.8742187507450581,0.8871093764901161,0.8806640636175871,0.009115048878068445,0.8742187507450581,0.8871093764901161,0.29747917316854,4.355086540191319e-05,0.29744837805628777,0.29750996828079224,0.8765197580165052,0.00033582160522746096,0.8762822962821798,0.8767572197508304,0.29672672076428186,0.004807558291901929,0.2933272636951284,0.30012617783343537,68.61346045960771,1.874394763602331,67.28806321164394,69.93885770757147,0.14576910240641722,0.0036879348601598196,0.14316133865822395,0.1483768661546105,0.008355135950525144,0.002569869462569792,0.006537963826777815,0.010172308074272472,0.04544514684379683,0.0007297935618349513,0.04492910486735705,0.04596118882023661,0.0035012436407104385,1.9774477116673116e-05,0.0034872609738468207,0.0035152263075740563,44.05703024961986,0.06904924809912075,44.008205058053136,44.10585544118658
dthreeq_dplus_layergain_direct,dthreeq_variant_objective,0.8806640636175871,0.009115048878068445,0.8742187507450581,0.8871093764901161,0.8806640636175871,0.009115048878068445,0.8742187507450581,0.8871093764901161,0.2974784839898348,4.3416522322284714e-05,0.29744778387248516,0.2975091841071844,0.8765197580165052,0.00033582160522746096,0.8762822962821798,0.8767572197508304,0.2967261532519726,0.0048074560633757524,0.2933267684693032,0.300125538034642,68.61338611359292,1.8743835148774952,67.28799681967877,69.93877540750707,0.14576892158122245,0.003687914730182328,0.14316117206707277,0.14837667109537211,0.008355135950525144,0.002569869462569792,0.006537963826777815,0.010172308074272472,0.045445166390870456,0.0007297944365637408,0.04492912379590402,0.04596120898583689,0.0038604337318372487,1.537295190516678e-05,0.0038495634132982505,0.0038713040503762465,42.84834241657518,1.930351744442002,41.48337760800496,44.2133072251454
epthreeq_cost_w10,threeq_mlp,0.904296875,0.004419418436087135,0.9011718742549419,0.9074218757450581,0.904296875,0.004419418436087135,0.9011718742549419,0.9074218757450581,0.9813738185912371,0.010636829332183104,0.9738524444401264,0.9888951927423477,0.9087670978079451,0.0032238913558465736,0.9064874623684173,0.9110467332474729,0.9812682803640975,0.00894445620198644,0.9749435947296468,0.9875929659985482,198.64268858889318,11.44154509161875,190.55229446735788,206.73308271042845,,,,,0.45166989865779883,0.0248664545862607,0.43408665999578655,0.46925313731981105,0.09122146092064626,0.0005098548634383377,0.09086093908928806,0.09158198275200444,0.002641550003657708,0.0001952867591062357,0.002503461412017745,0.002779638595297671,45.12925741286017,0.22024552482137388,44.97352030873299,45.284994516987354
epthreeq_tied_w10,threeq_mlp,0.9064453132450581,0.02596407606802233,0.8880859389901161,0.9248046875,0.9211914073675871,0.04681820236813307,0.8880859389901161,0.9542968757450581,0.997780604287982,0.001392523972265843,0.996795941144228,0.998765267431736,0.9160334353751325,0.04278372146806905,0.8857807758006644,0.9462860949496006,0.9977503793036684,0.0008477695099332939,0.9971509157343114,0.9983498428730254,27.701021052421407,0.55457616707476,27.3088764839984,28.093165620844413,,,,,0.379843754702218,0.013232383879142247,0.37048704633001295,0.389200463074423,0.09031551238809916,0.001875064417840229,0.08898964162308273,0.0916413831531156,0.0005110695290722824,3.2021561371357105e-05,0.0004884268658824146,0.0005337121922621502,43.06327520287596,1.9693881094346766,41.67070751590654,44.45584288984537
threeq_direct_cost_w10,threeq_mlp,0.9163085948675871,0.019196843728033555,0.9027343764901161,0.9298828132450581,0.9163085948675871,0.019196843728033555,0.9027343764901161,0.9298828132450581,0.9985079821199179,0.00013905035577153522,0.9984096586704254,0.9986063055694103,0.9153685417581112,0.012089592136053937,0.9068199091769279,0.9239171743392944,0.9984729454872456,0.00022229682690979468,0.9983157578935015,0.9986301330809898,32.58263634620829,0.021867664577544126,32.567173572296795,32.598099120119784,,,,,0.3859076174049775,0.006189930760762264,0.3815306753889673,0.3902845594209877,0.09067430997148476,0.00046051623250629726,0.09034867582063308,0.09099994412233645,0.0002663125943663488,7.805998821347369e-07,0.00026576062689629787,0.00026686456183639963,44.20146046951413,0.3526553643993296,43.95209546992555,44.45082546910271
