case,eta,final_rho,inference_step,state_norm
small_step_eta_0p010,0.01,0.94,0,0.001
small_step_eta_0p010,0.01,0.94,1,0.00094
small_step_eta_0p010,0.01,0.94,2,0.0008836
small_step_eta_0p010,0.01,0.94,3,0.0008305839999999999
small_step_eta_0p010,0.01,0.94,4,0.0007807489599999998
small_step_eta_0p010,0.01,0.94,5,0.0007339040223999998
small_step_eta_0p010,0.01,0.94,6,0.0006898697810559998
small_step_eta_0p010,0.01,0.94,7,0.0006484775941926397
small_step_eta_0p010,0.01,0.94,8,0.0006095689385410813
small_step_eta_0p010,0.01,0.94,9,0.0005729948022286164
small_step_eta_0p010,0.01,0.94,10,0.0005386151140948994
small_step_eta_0p010,0.01,0.94,11,0.0005062982072492054
small_step_eta_0p010,0.01,0.94,12,0.0004759203148142531
small_step_eta_0p010,0.01,0.94,13,0.00044736509592539786
small_step_eta_0p010,0.01,0.94,14,0.00042052319016987395
small_step_eta_0p010,0.01,0.94,15,0.00039529179875968153
small_step_eta_0p010,0.01,0.94,16,0.0003715742908341006
small_step_eta_0p010,0.01,0.94,17,0.00034927983338405456
small_step_eta_0p010,0.01,0.94,18,0.0003283230433810113
small_step_eta_0p010,0.01,0.94,19,0.00030862366077815057
small_step_eta_0p010,0.01,0.94,20,0.0002901062411314615
small_step_eta_0p010,0.01,0.94,21,0.00027269986666357375
small_step_eta_0p010,0.01,0.94,22,0.00025633787466375937
small_step_eta_0p010,0.01,0.94,23,0.00024095760218393377
small_step_eta_0p010,0.01,0.94,24,0.00022650014605289773
small_step_eta_0p010,0.01,0.94,25,0.00021291013728972385
small_step_eta_0p010,0.01,0.94,26,0.00020013552905234042
small_step_eta_0p010,0.01,0.94,27,0.00018812739730919998
small_step_eta_0p010,0.01,0.94,28,0.000176839753470648
small_step_eta_0p010,0.01,0.94,29,0.0001662293682624091
small_step_eta_0p010,0.01,0.94,30,0.00015625560616666453
small_step_eta_0p010,0.01,0.94,31,0.00014688026979666467
small_step_eta_0p010,0.01,0.94,32,0.00013806745360886476
small_step_eta_0p010,0.01,0.94,33,0.00012978340639233289
small_step_eta_0p010,0.01,0.94,34,0.00012199640200879289
small_step_eta_0p010,0.01,0.94,35,0.00011467661788826532
small_step_eta_0p010,0.01,0.94,36,0.00010779602081496939
small_step_eta_0p010,0.01,0.94,37,0.00010132825956607122
small_step_eta_0p010,0.01,0.94,38,9.524856399210693e-05
small_step_eta_0p010,0.01,0.94,39,8.95336501525805e-05
small_step_eta_0p010,0.01,0.94,40,8.416163114342567e-05
large_step_eta_0p035,0.035,1.54,0,0.001
large_step_eta_0p035,0.035,1.54,1,0.0015400000000000001
large_step_eta_0p035,0.035,1.54,2,0.0023716
large_step_eta_0p035,0.035,1.54,3,0.003652264
large_step_eta_0p035,0.035,1.54,4,0.00562448656
large_step_eta_0p035,0.035,1.54,5,0.008661709302400001
large_step_eta_0p035,0.035,1.54,6,0.013339032325696002
large_step_eta_0p035,0.035,1.54,7,0.02054210978157184
large_step_eta_0p035,0.035,1.54,8,0.031634849063620636
large_step_eta_0p035,0.035,1.54,9,0.04871766755797579
large_step_eta_0p035,0.035,1.54,10,0.07502520803928271
large_step_eta_0p035,0.035,1.54,11,0.11553882038049539
large_step_eta_0p035,0.035,1.54,12,0.17792978338596288
large_step_eta_0p035,0.035,1.54,13,0.27401186641438285
large_step_eta_0p035,0.035,1.54,14,0.42197827427814966
large_step_eta_0p035,0.035,1.54,15,0.6498465423883504
large_step_eta_0p035,0.035,1.54,16,1.0007636752780595
large_step_eta_0p035,0.035,1.54,17,1.541176059928212
large_step_eta_0p035,0.035,1.54,18,2.3734111322894464
large_step_eta_0p035,0.035,1.54,19,3.6550531437257474
large_step_eta_0p035,0.035,1.54,20,5.628781841337652
large_step_eta_0p035,0.035,1.54,21,8.668324035659984
large_step_eta_0p035,0.035,1.54,22,13.349219014916375
large_step_eta_0p035,0.035,1.54,23,20.557797282971215
large_step_eta_0p035,0.035,1.54,24,31.659007815775677
large_step_eta_0p035,0.035,1.54,25,48.75487203629454
large_step_eta_0p035,0.035,1.54,26,75.0825029358936
large_step_eta_0p035,0.035,1.54,27,115.62705452127614
large_step_eta_0p035,0.035,1.54,28,178.06566396276526
large_step_eta_0p035,0.035,1.54,29,274.22112250265855
large_step_eta_0p035,0.035,1.54,30,422.3005286540941
large_step_eta_0p035,0.035,1.54,31,650.3428141273049
large_step_eta_0p035,0.035,1.54,32,1001.5279337560496
large_step_eta_0p035,0.035,1.54,33,1542.3530179843165
large_step_eta_0p035,0.035,1.54,34,2375.2236476958474
large_step_eta_0p035,0.035,1.54,35,3657.8444174516053
large_step_eta_0p035,0.035,1.54,36,5633.080402875472
large_step_eta_0p035,0.035,1.54,37,8674.943820428227
large_step_eta_0p035,0.035,1.54,38,13359.41348345947
large_step_eta_0p035,0.035,1.54,39,20573.496764527586
large_step_eta_0p035,0.035,1.54,40,31683.18501737248
